step, loss 
78000 , 45.78
78100 , 62.45
78200 , 95.87
78300 , 99.06
78400 , 70.07
78500 , 70.57
78600 , 58.18
78700 , 112.71
78800 , 76.39
78900 , 51.55
79000 , 67.55
79100 , 55.67
79200 , 40.18
79300 , 98.58
79400 , 45.22
79400 , 59.13
79500 , 36.06
79600 , 56.74
79700 , 100.20
79800 , 78.55
79900 , 65.61
80000 , 51.93
80100 , 48.56
80100 , 63.08
80200 , 48.20
80200 , 45.31
80300 , 55.44
80400 , 69.79
80500 , 59.27
80600 , 79.47
80700 , 96.12
80700 , 75.60
80700 , 73.05
80800 , 96.77
80900 , 70.12
81000 , 108.02
81100 , 78.54
81100 , 71.07
81200 , 70.91
81300 , 48.15
81400 , 42.90
81500 , 51.59
81600 , 31.16
81700 , 43.31
81800 , 46.26
81800 , 42.53
81900 , 62.30
82000 , 38.08
82100 , 56.27
82200 , 54.12
82300 , 46.12
82400 , 51.60
82500 , 37.79
82600 , 49.00
82700 , 40.12
82800 , 53.29
82900 , 74.27
83000 , 59.76
83100 , 57.49
83200 , 45.02
83300 , 66.97
83300 , 73.79
83400 , 51.60
83500 , 51.42
83600 , 57.52
83700 , 71.50
83700 , 86.62
83800 , 65.95
83900 , 63.08
84000 , 66.19
84100 , 57.55
84200 , 53.69
84200 , 67.87
84200 , 65.83
84300 , 44.65
84400 , 81.34
84500 , 57.89
84600 , 77.75
84600 , 78.53
84700 , 58.20
84700 , 53.72
84700 , 97.78
84800 , 79.51
84900 , 96.22
85000 , 59.47
85100 , 55.92
85200 , 68.67
85300 , 65.03
85300 , 69.30
85400 , 88.43
85500 , 77.71
85600 , 78.45
85600 , 60.19
85700 , 72.96
85800 , 93.88
85900 , 70.16
86000 , 55.71
86100 , 56.43
86200 , 72.16
86300 , 64.57
86400 , 64.68
86500 , 97.30
86600 , 79.32
86700 , 57.21
86800 , 57.61
86900 , 68.02
86900 , 56.03
87000 , 81.90
87100 , 54.45
87200 , 117.36
87200 , 152.91
87300 , 69.43
87400 , 87.94
87500 , 75.29
87500 , 72.27
87600 , 98.38
87700 , 76.70
87800 , 68.50
87900 , 68.35
88000 , 123.81
88100 , 71.82
88200 , 73.86
88300 , 69.73
88400 , 118.91
88500 , 87.44
88500 , 79.38
88600 , 85.75
88600 , 64.87
88600 , 50.54
88600 , 117.36
88600 , 91.85
88500 , 65.66
88500 , 54.17
88500 , 72.99
88500 , 69.87
88400 , 59.16
88400 , 77.45
88400 , 63.54
88300 , 66.83
88400 , 44.03
88500 , 64.92
88600 , 48.97
88700 , 71.07
88800 , 63.31
88800 , 58.73
88900 , 108.31
88900 , 95.23
89000 , 36.06
89000 , 63.34
89100 , 55.96
89200 , 47.48
89300 , 134.70
89400 , 34.62
89400 , 33.43
89400 , 120.03
89500 , 44.45
89600 , 88.36
89700 , 60.58
89800 , 77.56
89800 , 108.73
89900 , 73.17
90000 , 43.10
90000 , 66.89
90100 , 75.68
90200 , 67.29
90300 , 51.40
90400 , 72.07
90500 , 88.44
90600 , 60.18
90700 , 77.14
90700 , 98.54
90800 , 61.96
90900 , 93.16
91000 , 58.94
91100 , 69.38
91200 , 91.50
91200 , 61.78
91300 , 45.24
91400 , 69.56
91500 , 66.62
